Household Key,Length Of Residence,Number of Roadside calss for Year 1,Number of Roadside calss for Year 2,Number of Roadside calss for Year 3,Roadside Member Cost for Year 1,Roadside Member Cost for Year 2,Roadside Member Cost for Year 3,Member Tenure Years,Years to Cancelled Status,Basic Cost,Calculated Tow Miles,Plus Cost,Premier Cost,Total Cost,Total Number of Roadside Calls,Total Roadside Member Cost,Email Available,Age,Years from most recent Membership Expiration,Years from Join Date,Purchased Product 1,Purchased Product 2,Purchased Product 3,Purchased Product 4,Purchased Product 5,Purchased Product 6,Purchased Product 7,Purchased Product 8,Mail Responder,Home Owner,Opt-Out - Publication,Cash Call,Fleet Indicator,Total Number of Purchased Products,Household Purchased Product,Email Correspondent,Home Renter,No Home Ownership Info,City,Number of Children,Annual Income,Education,Annual Credit Possible,Member Status,Member Type,Renew Method,Motorcycle Indicator,AAA Service Necessity Due Problem 1,AAA Club 1,Vehicle Manufacturer Name 1,AAA Service Necessity Due Problem 2,Vehicle Manufacturer Name 2,AAA Club 2,Number of Members per Household Key,Frequency of use of Roadside Services,Household have used the Roadside Services,Household Group Label,Household Purchase Product Probability,Household Roadside Usage Probability
8750,90.55833333333334,8,4,7,4623.928571428572,2522.1428571428573,5472.0,289,131,1250.357142857143,80.14285714285714,265.7142857142857,0.0,1516.0714285714287,19,12618.07142857143,1,74,2,30,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,WEST WARWICK,1,34500.0,Some College,624500.0,ACTIVE,Primary,AUTO RENEW,0,Battery Service,AAA Northeast,TOYOTA,,,,18,19,1,0,0.9900076122585038,0.9991828146651632
9690,140.0,0,7,15,0.0,1470.8333333333333,15059.5,353,242,3072.5,22.5,127.5,0.0,4347.5,22,16530.333333333332,1,76,0,36,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,WARWICK,0,54500.0,Unknown,774500.0,ACTIVE,Associate,AUTO RENEW,0,Flat Tire,AAA Northeast,SUBARU,,,,6,22,1,2,0.010776946398076566,0.9999641641916523
33380,50.0,0,0,0,0.0,0.0,0.0,373,260,0.0,0.0,0.0,0.0,0.0,0,0.0,0,90,11,38,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,1,0,0,CENTRAL FALLS,0,54500.0,Some College,674500.0,ACTIVE,Primary,NOTICE,0,Lockout,AAA Northeast,INFINITI,,,,3,0,0,0,0.9970301681869336,0.18545711807362958
87180,150.0,0,0,0,0.0,0.0,0.0,100,2,0.0,0.0,0.0,0.0,0.0,0,0.0,1,68,3,11,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,WARWICK,1,124500.0,Unknown,674500.0,PENDING,Associate,NOTICE,0,Jump Start,AAA Northeast,VOLKSWAGEN,,,,2,0,0,2,0.010776946398076566,0.18545711807362958
115240,121.0,3,22,10,1961.6666666666667,12205.833333333334,530.0,363,93,5885.0,12.0,0.0,0.0,5885.0,35,14697.5,1,50,3,37,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,BARRINGTON,4,124500.0,Unknown,800000.0,ACTIVE,Associate,NOTICE,0,Extrication,AAA Northeast,LEXUS,Flat Tire,,,7,35,1,2,0.010776946398076566,0.9999999713396145
134220,150.0,2,0,0,1471.25,0.0,0.0,330,242,2161.6666666666665,0.0,0.0,0.0,2161.6666666666665,2,1471.25,1,70,0,34,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,WAKEFIELD,1,162000.0,Some College,774500.0,ACTIVE,Primary,NOTICE,1,Battery Service,AAA Northeast,ACURA,,,,4,2,1,4,0.010776946398076566,0.3088314038738474
197470,150.0,0,0,0,0.0,0.0,0.0,460,242,0.0,0.0,0.0,0.0,0.0,0,0.0,0,95,0,47,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,CRANSTON,0,9999.0,Unknown,499999.0,ACTIVE,Primary,AUTO RENEW,1,Battery Service,AAA Northeast,CHEVROLET,,,,1,0,0,1,0.010776946398076566,0.18545711807362958
204690,150.0,37,9,9,2172.923076923077,5432.307692307692,489.2307692307692,292,52,2654.5833333333335,16.666666666666668,0.0,0.0,2654.5833333333335,55,8094.461538461539,0,77,0,30,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,NEWINGTON,0,9999.0,Unknown,499999.0,CANCELLED,Primary,NOTICE,0,Jump Start,AAA Northeast,HYUNDAI,,,,13,55,1,1,0.010776946398076566,0.9999999990731445
300070,117.0,0,3,0,0.0,113.33333333333333,0.0,242,282,340.0,0.0,0.0,0.0,340.0,3,113.33333333333333,1,72,4,25,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,CHEPACHET,0,124500.0,Unknown,499999.0,ACTIVE,Primary,NOTICE,1,Tow,AAA Northeast,DODGE,,,,4,3,1,0,0.9970301681869336,0.5634934293056768
380930,21.0,0,16,5,0.0,4437.727272727273,3084.090909090909,322,89,997.5,21.0,0.0,0.0,1085.5,21,7521.818181818182,1,46,1,33,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,MANVILLE,0,34500.0,Unknown,724500.0,ACTIVE,Primary,NOTICE,0,Flat Tire,AAA Northeast,BUICK,,,,12,21,1,4,0.010776946398076566,0.9999673697446723
